,ID,tweet_id,term,pos,pos_fre,neg_fre,label,fea_weight,normalize_weight
299,299,153,mohon,v,2,1,1,-1.9336064526478551,0.6103720239121453
300,300,153,maaf,n,1,2,1,-2.9336064526478554,0.0934778495917934
301,301,153,maya,n,2,2,1,-2.3486439519266993,0.39584155841042357
302,302,153,maya,n,2,2,1,-2.3486439519266993,0.39584155841042357
303,303,154,mohon,v,2,1,1,-1.9336064526478551,0.6103720239121453
304,304,154,maaf,n,1,2,1,-2.9336064526478554,0.0934778495917934
305,305,158,lambat,adj,1,4,0,-1.427747223185769,0.8718477126472799
306,306,158,ampun,n,1,2,0,-1.6907816290195627,0.7358867606259765
307,307,159,salah,v,1,3,0,-1.5208566275772504,0.8237200039428854
308,308,160,sama,v,2,1,0,-2.6907816290195625,0.2189925863056248
309,309,161,mohon,v,2,1,1,-1.9336064526478551,0.6103720239121453
310,310,161,maaf,n,1,2,1,-2.9336064526478554,0.0934778495917934
311,311,161,maya,n,2,2,1,-2.3486439519266993,0.39584155841042357
312,312,161,tunggu,v,1,2,1,-2.9336064526478554,0.0934778495917934
313,313,162,mohon,v,2,1,1,-1.9336064526478551,0.6103720239121453
314,314,162,maaf,n,1,2,1,-2.9336064526478554,0.0934778495917934
315,315,163,mending,adj,3,1,0,-3.1058191282984065,0.004462120803903069
316,316,163,maya,n,2,2,0,-2.1058191282984065,0.5213562951242552
317,317,163,cek,n,3,1,0,-3.1058191282984065,0.004462120803903069
318,318,163,sakit,adj,1,7,0,-1.2984642062408025,0.9386733509446925
319,319,163,hati,n,3,3,0,-2.1058191282984065,0.5213562951242552
320,320,164,mohon,v,2,1,1,-1.9336064526478551,0.6103720239121453
321,321,164,maaf,n,1,2,1,-2.9336064526478554,0.0934778495917934
322,322,165,pas,n,2,1,0,-2.6907816290195625,0.2189925863056248
323,323,165,pas,n,2,1,0,-2.6907816290195625,0.2189925863056248
324,324,167,maaf,n,1,2,0,-1.6907816290195627,0.7358867606259765
325,325,167,maya,n,2,2,0,-2.1058191282984065,0.5213562951242552
326,326,168,langgar,v,1,2,0,-1.6907816290195627,0.7358867606259765
327,327,168,ketawa,n,1,2,0,-1.6907816290195627,0.7358867606259765
328,328,169,mas,n,1,2,0,-1.6907816290195627,0.7358867606259765
329,329,169,tambun,adj,3,1,0,-3.1058191282984065,0.004462120803903069
