,ID,tweet_id,term,pos,pos_fre,neg_fre,label,fea_weight,normalize_weight
1286,1286,786,nyaman,adj,4,2,0,-2.849723238029203,0.2470531319508642
1287,1287,786,kena,v,1,2,0,-1.8497232380292032,0.7453759939917779
1288,1288,786,saat,n,2,2,0,-2.264760737308047,0.5385533194968408
1289,1289,789,murah,adj,3,5,0,-1.9428326424206845,0.69897744911249
1290,1290,789,harga,n,2,1,0,-2.849723238029203,0.2470531319508642
1291,1291,790,ganggu,v,1,4,0,-1.5866888321954091,0.8764520519221055
1292,1292,790,mati,v,2,5,0,-1.7501875644782887,0.7949768957108398
1293,1293,792,murah,adj,3,5,0,-1.9428326424206845,0.69897744911249
1294,1294,792,harga,n,2,1,0,-2.849723238029203,0.2470531319508642
1295,1295,793,murah,adj,3,5,0,-1.9428326424206845,0.69897744911249
1296,1296,793,harga,n,2,1,0,-2.849723238029203,0.2470531319508642
1297,1297,794,maaf,n,1,2,0,-1.8497232380292032,0.7453759939917779
1298,1298,796,selamat,adj,4,3,0,-2.4871531586444946,0.42773009160025355
1299,1299,796,pulang,v,1,2,0,-1.8497232380292032,0.7453759939917779
1300,1300,797,maju,v,6,1,0,-4.072115659365651,-0.3620929579866372
1301,1301,797,kuat,adj,18,9,0,-2.849723238029203,0.2470531319508642
1302,1302,797,kalah,v,1,8,0,-1.434685738750359,0.9521986684867152
1303,1303,798,stabil,adj,2,4,0,-1.8497232380292032,0.7453759939917779
1304,1304,799,maaf,n,1,2,0,-1.8497232380292032,0.7453759939917779
1305,1305,799,nyaman,adj,4,2,0,-2.849723238029203,0.2470531319508642
1306,1306,801,maaf,n,1,2,0,-1.8497232380292032,0.7453759939917779
1307,1307,803,waktu,n,5,2,0,-3.0721156593656507,0.13622990405427693
1308,1308,803,tunggu,v,1,2,0,-1.8497232380292032,0.7453759939917779
1309,1309,805,kala,n,2,1,0,-2.849723238029203,0.2470531319508642
1310,1310,806,murah,adj,3,5,0,-1.9428326424206845,0.69897744911249
1311,1311,806,harga,n,2,1,0,-2.849723238029203,0.2470531319508642
1312,1312,807,lambat,adj,1,4,0,-1.5866888321954091,0.8764520519221055
1313,1313,807,kali,n,2,1,0,-2.849723238029203,0.2470531319508642
1314,1314,808,murah,adj,3,5,0,-1.9428326424206845,0.69897744911249
1315,1315,808,harga,n,2,1,0,-2.849723238029203,0.2470531319508642
1316,1316,809,murah,adj,3,5,0,-1.9428326424206845,0.69897744911249
1317,1317,809,harga,n,2,1,0,-2.849723238029203,0.2470531319508642
1318,1318,811,maaf,n,1,2,0,-1.8497232380292032,0.7453759939917779
1319,1319,811,kena,v,1,2,0,-1.8497232380292032,0.7453759939917779
1320,1320,813,mohon,v,2,1,0,-2.849723238029203,0.2470531319508642
1321,1321,813,kasih,n,5,1,0,-3.849723238029203,-0.2512697300900496
1322,1322,814,sistem,n,3,2,0,-2.586688832195409,0.3781291898811916
1323,1323,814,kek,n,1,2,0,-1.8497232380292032,0.7453759939917779
1324,1324,815,murah,adj,3,5,0,-1.9428326424206845,0.69897744911249
1325,1325,816,kek,n,1,2,0,-1.8497232380292032,0.7453759939917779
1326,1326,816,lambang,n,4,1,0,-3.586688832195409,-0.12019367215972221
1327,1327,816,jenis,n,4,2,0,-2.849723238029203,0.2470531319508642
1328,1328,817,murah,adj,3,5,0,-1.9428326424206845,0.69897744911249
1329,1329,817,harga,n,2,1,0,-2.849723238029203,0.2470531319508642
1330,1330,818,cek,n,3,1,0,-3.264760737308047,0.040230457455926905
1331,1331,819,murah,adj,3,5,0,-1.9428326424206845,0.69897744911249
1332,1332,819,harga,n,2,1,0,-2.849723238029203,0.2470531319508642
1333,1333,821,murah,adj,3,5,0,-1.9428326424206845,0.69897744911249
1334,1334,821,harga,n,2,1,0,-2.849723238029203,0.2470531319508642
1335,1335,822,bom,n,1,2,1,-3.2960776008557193,0.024624548382706113
1336,1336,823,jelek,adj,2,3,0,-2.001726331474253,0.6696293774271682
1337,1337,823,jelek,adj,2,3,0,-2.001726331474253,0.6696293774271682
1338,1338,824,maaf,n,1,2,0,-1.8497232380292032,0.7453759939917779
1339,1339,824,potong,n,2,2,0,-2.264760737308047,0.5385533194968408
1340,1340,825,murah,adj,3,5,0,-1.9428326424206845,0.69897744911249
1341,1341,825,harga,n,2,1,0,-2.849723238029203,0.2470531319508642
1342,1342,828,maaf,n,1,2,0,-1.8497232380292032,0.7453759939917779
1343,1343,828,stabil,adj,2,4,0,-1.8497232380292032,0.7453759939917779
1344,1344,829,murah,adj,3,5,0,-1.9428326424206845,0.69897744911249
1345,1345,829,harga,n,2,1,0,-2.849723238029203,0.2470531319508642
1346,1346,830,minta,v,3,1,0,-3.264760737308047,0.040230457455926905
1347,1347,830,tolong,v,6,1,0,-4.072115659365651,-0.3620929579866372
1348,1348,830,cek,n,3,1,0,-3.264760737308047,0.040230457455926905
1349,1349,830,mati,v,2,5,0,-1.7501875644782887,0.7949768957108398
1350,1350,832,maaf,n,1,2,0,-1.8497232380292032,0.7453759939917779
1351,1351,832,gagal,v,1,12,0,-1.3802379547279828,0.9793312440525312
1352,1352,834,maaf,n,1,2,0,-1.8497232380292032,0.7453759939917779
1353,1353,834,kena,v,1,2,0,-1.8497232380292032,0.7453759939917779
1354,1354,834,tingkat,n,2,2,0,-2.264760737308047,0.5385533194968408
1355,1355,838,ubah,v,1,2,0,-1.8497232380292032,0.7453759939917779
1356,1356,838,sesuai,n,3,1,0,-3.264760737308047,0.040230457455926905
1357,1357,839,maaf,n,1,2,0,-1.8497232380292032,0.7453759939917779
1358,1358,839,sakti,adj,1,2,0,-1.8497232380292032,0.7453759939917779
1359,1359,840,baik,adj,13,1,0,-5.072115659365651,-0.8604158200275511
1360,1360,840,maaf,n,1,2,0,-1.8497232380292032,0.7453759939917779
1361,1361,840,kena,v,1,2,0,-1.8497232380292032,0.7453759939917779
1362,1362,840,utama,adj,13,2,0,-4.171651332916565,-0.41169385970569883
1363,1363,841,tolong,v,6,1,0,-4.072115659365651,-0.3620929579866372
1364,1364,841,ganggu,v,1,4,0,-1.5866888321954091,0.8764520519221055
1365,1365,841,sistem,n,3,2,0,-2.586688832195409,0.3781291898811916
1366,1366,842,bonus,n,2,1,0,-2.849723238029203,0.2470531319508642
1367,1367,842,pertama,num,2,1,0,-2.849723238029203,0.2470531319508642
1368,1368,843,maaf,n,1,2,0,-1.8497232380292032,0.7453759939917779
1369,1369,843,cek,n,3,1,0,-3.264760737308047,0.040230457455926905
1370,1370,843,status,n,2,2,0,-2.264760737308047,0.5385533194968408
1371,1371,844,maaf,n,1,2,0,-1.8497232380292032,0.7453759939917779
1372,1372,844,nyaman,adj,4,2,0,-2.849723238029203,0.2470531319508642
1373,1373,845,atas,n,1,2,1,-3.2960776008557193,0.024624548382706113
1374,1374,845,jiwa,n,2,2,1,-2.7111151001345632,0.31612473592868273
1375,1375,846,maksimal,adj,2,1,0,-2.849723238029203,0.2470531319508642
1376,1376,846,ada,v,6,1,0,-4.072115659365651,-0.3620929579866372
1377,1377,847,maaf,n,1,2,0,-1.8497232380292032,0.7453759939917779
1378,1378,848,aktif,adj,7,3,0,-3.001726331474253,0.1713065153862543
1379,1379,848,mengapa,n,1,2,0,-1.8497232380292032,0.7453759939917779
1380,1380,848,aktif,adj,7,3,0,-3.001726331474253,0.1713065153862543
1381,1381,850,hasil,n,4,3,0,-2.4871531586444946,0.42773009160025355
1382,1382,850,potong,n,2,2,0,-2.264760737308047,0.5385533194968408
1383,1383,851,baik,adj,13,1,0,-5.072115659365651,-0.8604158200275511
1384,1384,851,mohon,v,2,1,0,-2.849723238029203,0.2470531319508642
1385,1385,851,tunggu,v,1,2,0,-1.8497232380292032,0.7453759939917779
1386,1386,852,aneh,adj,7,10,0,-2.030295483671024,0.655392715738391
1387,1387,852,buka,v,2,3,0,-2.001726331474253,0.6696293774271682
1388,1388,852,aplikasi,n,2,1,0,-2.849723238029203,0.2470531319508642
1389,1389,854,suka,adj,4,2,1,-2.2960776008557193,0.52294741042362
1390,1390,854,canda,n,2,1,1,-2.2960776008557193,0.52294741042362
1391,1391,856,buka,v,2,3,1,-3.0330431950219254,0.1557006063130335
1392,1392,858,selamat,adj,4,3,0,-2.4871531586444946,0.42773009160025355
1393,1393,858,puas,adj,4,2,0,-2.849723238029203,0.2470531319508642
1394,1394,859,order,n,2,1,0,-2.849723238029203,0.2470531319508642
1395,1395,859,proses,n,1,2,0,-1.8497232380292032,0.7453759939917779
1396,1396,859,cepat,adj,10,4,0,-3.0721156593656507,0.13622990405427693
1397,1397,859,aktif,adj,7,3,0,-3.001726331474253,0.1713065153862543
1398,1398,860,tukar,v,2,2,0,-2.264760737308047,0.5385533194968408
1399,1399,861,tolong,v,6,1,0,-4.072115659365651,-0.3620929579866372
1400,1400,864,baik,adj,13,1,0,-5.072115659365651,-0.8604158200275511
1401,1401,864,mohon,v,2,1,0,-2.849723238029203,0.2470531319508642
1402,1402,864,tunggu,v,1,2,0,-1.8497232380292032,0.7453759939917779
1403,1403,865,maaf,n,1,2,0,-1.8497232380292032,0.7453759939917779
1404,1404,868,baik,adj,13,1,0,-5.072115659365651,-0.8604158200275511
1405,1405,868,mohon,v,2,1,0,-2.849723238029203,0.2470531319508642
1406,1406,868,tunggu,v,1,2,0,-1.8497232380292032,0.7453759939917779
1407,1407,870,maaf,n,1,2,0,-1.8497232380292032,0.7453759939917779
1408,1408,870,nyaman,adj,4,2,0,-2.849723238029203,0.2470531319508642
1409,1409,871,gagal,v,1,12,0,-1.3802379547279828,0.9793312440525312
1410,1410,871,capai,v,2,1,0,-2.849723238029203,0.2470531319508642
1411,1411,871,batas,n,2,2,0,-2.264760737308047,0.5385533194968408
1412,1412,871,tukar,v,2,2,0,-2.264760737308047,0.5385533194968408
1413,1413,871,maksimal,adj,2,1,0,-2.849723238029203,0.2470531319508642
1414,1414,871,kali,n,2,1,0,-2.849723238029203,0.2470531319508642
1415,1415,873,gada,n,2,1,0,-2.849723238029203,0.2470531319508642
1416,1416,873,ganggu,v,1,4,0,-1.5866888321954091,0.8764520519221055
1417,1417,874,siap,v,3,1,0,-3.264760737308047,0.040230457455926905
1418,1418,874,baik,adj,13,1,0,-5.072115659365651,-0.8604158200275511
1419,1419,876,siap,v,3,1,0,-3.264760737308047,0.040230457455926905
1420,1420,876,balas,v,1,2,0,-1.8497232380292032,0.7453759939917779
1421,1421,876,kenan,v,1,2,0,-1.8497232380292032,0.7453759939917779
1422,1422,876,tunggu,v,1,2,0,-1.8497232380292032,0.7453759939917779
1423,1423,877,isi,n,2,1,0,-2.849723238029203,0.2470531319508642
1424,1424,878,maaf,n,1,2,0,-1.8497232380292032,0.7453759939917779
1425,1425,878,nyaman,adj,4,2,0,-2.849723238029203,0.2470531319508642
1426,1426,878,aktif,adj,7,3,0,-3.001726331474253,0.1713065153862543
1427,1427,879,nama,n,2,1,0,-2.849723238029203,0.2470531319508642
1428,1428,879,lengkap,adj,4,1,0,-3.586688832195409,-0.12019367215972221
1429,1429,879,tanggal,v,2,1,0,-2.849723238029203,0.2470531319508642
